PRECINCT NAME,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,State Senator 38th Senatorial District,                                                                                                                                                                     
Clarkstown 83 (Ward 4),222,132,10,17,0,0,14,
Clarkstown 84 (Ward 2),116,147,12,5,0,0,6,
Haverstraw 1,136,216,38,5,0,0,12,
Haverstraw 2,222,155,27,8,1,0,20,
Haverstraw 3,217,177,26,11,0,0,21,
Haverstraw 4,105,82,6,5,0,0,10,
Haverstraw 5,109,75,7,4,0,2,13,
Haverstraw 6,136,76,4,6,0,0,15,
Haverstraw 7,101,67,6,2,0,0,23,
Haverstraw 8,54,12,2,2,0,0,10,
Haverstraw 9,76,55,5,5,0,0,12,
Haverstraw 10,295,179,18,14,0,0,24,
Haverstraw 11,90,85,6,6,0,0,13,
Haverstraw 12,48,34,2,1,0,0,6,
Haverstraw 13,223,103,9,6,0,1,20,
Haverstraw 14,176,90,11,9,0,0,17,
Haverstraw 15,118,153,9,6,0,0,16,
Haverstraw 16,234,97,7,8,0,1,34,
Haverstraw 17,203,182,24,8,0,0,17,
Haverstraw 18,224,71,12,10,1,0,26,
Haverstraw 19,108,106,19,3,1,0,15,
Haverstraw 20,188,222,29,11,0,0,26,
Haverstraw 21,151,99,14,3,1,0,11,
Haverstraw 22,220,342,33,11,0,0,27,
Haverstraw 23,134,238,35,8,0,0,15,
Haverstraw 24,84,75,15,4,0,0,4,
Haverstraw 25,101,182,14,3,0,0,15,
Haverstraw 26,47,66,5,1,0,0,4,
Haverstraw 27,12,28,0,2,0,0,2,
Haverstraw 28,92,74,7,2,0,2,9,
Haverstraw 29,131,136,12,2,0,0,8,
Haverstraw 30,134,108,8,8,0,0,22,
Haverstraw 31,127,82,6,10,0,0,15,
Haverstraw 32,19,3,0,2,0,0,5,
Haverstraw 33,166,136,14,7,0,0,10,
Orangetown 1,517,180,15,31,0,0,18,
Orangetown 2,377,72,6,39,2,0,15,
Orangetown 3,121,256,31,10,0,0,16,
Orangetown 4,91,162,14,10,0,0,7,
Orangetown 5,302,58,8,32,0,0,12,
Orangetown 6,118,115,9,9,0,0,7,
Orangetown 7,206,35,5,46,0,0,14,
Orangetown 8,255,61,5,33,0,0,9,
Orangetown 9,262,405,46,14,0,0,30,
Orangetown 10,133,223,17,8,0,0,10,
Orangetown 11,378,74,15,68,1,0,15,
Orangetown 12,297,155,23,19,0,0,15,
Orangetown 13,210,155,23,13,0,0,7,
Orangetown 14,293,80,10,29,1,0,10,
Orangetown 15,141,41,4,14,1,0,10,
Orangetown 16,238,155,28,16,0,0,16,
Orangetown 17,141,281,36,7,0,0,22,
Orangetown 18,268,80,8,42,2,0,6,
Orangetown 19,99,245,34,12,0,0,12,
Orangetown 20,159,437,50,12,0,0,20,
Orangetown 21,206,145,17,19,0,0,9,
Orangetown 22,134,324,34,13,0,0,8,
Orangetown 23,81,243,37,3,0,0,18,
Orangetown 24,110,260,26,7,0,0,13,
Orangetown 25,88,247,22,4,0,0,7,
Orangetown 26,208,344,38,15,1,0,14,
Orangetown 27,103,242,22,6,1,0,11,
Orangetown 28,179,257,47,18,0,0,16,
Orangetown 29,111,304,26,7,0,0,16,
Orangetown 30,87,238,25,5,0,0,13,
Orangetown 31,0,2,0,0,0,0,0,
Orangetown 32,100,42,3,13,0,0,2,
Orangetown 33,295,157,17,24,1,0,9,
Orangetown 34,119,251,37,12,1,0,20,
Orangetown 36,11,7,1,1,0,1,1,
Orangetown 39,164,172,22,9,0,0,10,
Orangetown 40,128,154,12,10,0,0,7,
Orangetown 41,210,370,46,16,1,0,20,
Orangetown 42,181,216,35,21,0,0,11,
Orangetown 43,96,266,37,11,0,0,16,
Orangetown 45,107,337,57,11,0,0,20,
Orangetown 46,251,90,12,10,0,0,8,
Orangetown 47,148,255,25,16,0,1,4,
Orangetown 48,320,94,7,28,0,0,14,
Orangetown 49,210,276,32,13,0,0,13,
Orangetown 50,168,157,10,12,0,0,8,
Orangetown 51,143,160,13,2,0,0,5,
Orangetown 53,143,258,31,3,0,0,10,
Orangetown 54,75,185,31,7,0,0,9,
Orangetown 55,176,243,26,15,0,0,15,
Orangetown 56,155,189,18,9,0,0,10,
Orangetown 57,105,116,14,8,0,0,12,
Ramapo 1,135,236,28,5,0,0,19,
Ramapo 2,285,222,33,19,0,0,15,
Ramapo 3,177,182,90,11,2,1,30,
Ramapo 4,114,175,29,11,0,0,12,
Ramapo 5,131,122,8,8,0,0,17,
Ramapo 6,107,29,15,2,0,0,22,
Ramapo 7,183,116,20,13,1,0,16,
Ramapo 8,187,61,25,2,1,0,28,
Ramapo 9,106,130,46,10,0,0,19,
Ramapo 10,239,40,4,6,0,0,10,
Ramapo 11,122,127,19,15,0,0,13,
Ramapo 12,147,31,9,4,0,0,19,
Ramapo 13,199,69,25,5,0,0,33,
Ramapo 14,95,173,92,1,3,0,43,
Ramapo 15,95,161,17,2,0,0,12,
Ramapo 16,319,210,12,15,0,0,28,
Ramapo 17,247,247,43,38,0,0,38,
Ramapo 18,43,203,65,2,0,0,40,
Ramapo 19,229,264,67,14,5,1,38,
Ramapo 20,30,129,38,5,1,0,18,
Ramapo 21,83,116,171,4,2,0,60,
Ramapo 22,35,35,4,0,0,0,3,
Ramapo 23,175,44,11,1,0,0,12,
Ramapo 24,23,198,64,4,0,0,20,
Ramapo 25,28,114,71,2,0,0,35,
Ramapo 26,92,86,76,1,3,1,46,
Ramapo 27,165,152,24,6,0,0,19,
Ramapo 28,69,199,99,4,1,1,45,
Ramapo 29,270,224,64,11,1,1,38,
Ramapo 30,50,135,132,1,1,0,71,
Ramapo 31,227,250,27,17,1,0,10,
Ramapo 32,86,112,16,8,0,0,6,
Ramapo 33,43,122,42,1,0,0,14,
Ramapo 34,156,193,108,10,2,0,40,
Ramapo 35,235,98,71,3,1,1,102,
Ramapo 36,89,231,151,1,1,1,46,
Ramapo 37,87,253,43,6,0,1,25,
Ramapo 38,86,337,76,6,0,1,30,
Ramapo 39,118,192,25,13,0,0,11,
Ramapo 40,51,237,179,1,3,0,58,
Ramapo 41,36,142,96,1,0,0,20,
Ramapo 42,132,15,5,3,0,0,7,
Ramapo 43,231,196,65,10,0,0,45,
Ramapo 44,88,240,30,12,0,0,17,
Ramapo 45,11,21,20,0,0,0,17,
Ramapo 46,93,105,37,6,1,0,17,
Ramapo 47,223,41,10,9,0,0,14,
Ramapo 48,93,125,18,9,0,0,8,
Ramapo 49,41,86,80,4,0,0,31,
Ramapo 50,171,82,24,10,0,0,16,
Ramapo 51,245,79,44,5,0,1,36,
Ramapo 52,44,49,63,2,3,0,22,
Ramapo 53,85,52,39,2,1,0,16,
Ramapo 54,153,265,41,8,0,1,30,
Ramapo 55,746,39,14,2,0,1,18,
Ramapo 56,27,227,59,4,0,0,20,
Ramapo 57,124,151,74,6,0,1,32,
Ramapo 58,477,38,13,0,0,1,16,
Ramapo 59,150,281,69,12,2,1,26,
Ramapo 60,55,120,93,3,1,0,36,
Ramapo 61,176,113,16,4,0,0,12,
Ramapo 62,109,149,19,3,0,0,6,
Ramapo 63,212,13,0,3,0,0,22,
Ramapo 64,92,163,128,7,3,0,37,
Ramapo 65,150,35,10,4,0,0,16,
Ramapo 66,196,134,15,13,0,0,11,
Ramapo 67,189,176,64,20,0,0,38,
Ramapo 68,138,129,30,3,1,0,19,
Ramapo 69,189,166,16,8,0,0,13,
Ramapo 70,217,50,8,2,0,0,24,
Ramapo 71,142,97,75,2,0,0,42,
Ramapo 72,32,42,7,5,0,0,6,
Ramapo 73,73,67,13,4,0,0,5,
Ramapo 74,85,133,101,5,1,0,49,
Ramapo 75,141,104,22,9,0,0,4,
Ramapo 76,108,172,34,6,1,0,27,
Ramapo 77,162,119,19,12,0,0,11,
Ramapo 78,161,96,10,7,0,0,13,
Ramapo 79,209,187,16,7,2,0,8,
Ramapo 80,151,256,48,12,0,0,52,
Ramapo 81,104,33,4,11,0,0,4,
Ramapo 82,124,72,4,6,0,0,5,
Ramapo 83,210,142,8,19,0,0,14,
Ramapo 84,53,165,103,4,2,1,49,
Ramapo 85,125,192,143,2,3,1,74,
Ramapo 86,40,206,29,4,2,0,21,
Ramapo 87,101,25,4,4,0,0,8,
Ramapo 88,72,163,168,2,4,1,79,
Ramapo 89,155,29,9,5,0,0,16,
Ramapo 90,207,179,38,13,0,2,31,
Ramapo 91,51,29,9,2,0,0,5,
Ramapo 92,133,86,4,3,1,0,8,
Ramapo 93,88,162,170,2,4,2,75,
Ramapo 94,196,37,5,2,1,0,19,
Ramapo 95,443,30,10,3,1,1,12,
Ramapo 96,111,204,202,5,6,0,104,
Ramapo 97,229,79,62,4,2,1,80,
Ramapo 98,650,25,6,1,0,0,19,
Ramapo 99,16,14,16,0,0,0,4,
Ramapo 100,0,0,1,2,0,0,0,
Ramapo 101,17,44,30,1,0,0,18,
Ramapo 102,5,57,39,0,1,0,18,
Ramapo 103,15,66,11,1,0,0,8,
Ramapo 104,10,7,1,0,0,0,2,
Ramapo 105,8,2,0,0,0,0,0,
Ramapo 106,1,5,1,0,0,0,1,
Ramapo 107,3,1,0,1,0,0,0,
Ramapo 108,23,6,2,0,0,0,1,
Ramapo 110,58,66,6,4,0,0,2,
Ramapo 111,99,99,92,1,1,0,40,
Ramapo 112,55,185,133,3,0,0,46,
Ramapo 113,24,178,61,0,1,1,14,
Ramapo 114,35,141,93,0,1,0,19,
Ramapo 115,169,46,12,5,0,0,23,
Ramapo 116,33,132,100,2,0,0,33,
Ramapo 117,165,103,76,4,4,1,63,
Ramapo 118,386,23,5,0,1,1,9,
COUNTY TOTALS,45264,42612,8473,2608,115,46,5047,
